class_id,train_count,valid_count,test_count,total_count
0,1,0,0,1
1,1,1,2,4
2,1,0,0,1
3,5,3,1,9
4,2,1,1,4
5,1,5,2,8
6,1,0,0,1
7,1,1,1,3
8,4,5,2,11
9,1,3,4,8
10,2,1,1,4
11,1,1,2,4
12,1,0,0,1
13,1,1,1,3
14,0,3,1,4
15,3,6,3,12
16,1,0,1,2
17,1,1,1,3
18,1,2,1,4
19,4,9,7,20
20,1,1,1,3
21,1,0,0,1
22,2,1,1,4
23,1,1,1,3
24,1,1,2,4
25,1,0,0,1
26,1,3,2,6
27,1,0,0,1
28,1,1,1,3
29,1,1,1,3
30,1,0,0,1
31,2,1,1,4
32,1,1,1,3
33,1,1,1,3
34,1,0,0,1
35,0,1,2,3
36,3,1,2,6
37,1,1,1,3
38,1,1,1,3
39,1,1,1,3
40,1,0,0,1
41,1,0,0,1
42,1,1,1,3
43,0,1,1,2
44,1,0,0,1
45,1,0,0,1
46,20,33,30,83
47,1,1,1,3
48,47,36,41,124
49,0,2,1,3
50,1,2,1,4
51,1,0,1,2
52,1,1,1,3
53,2,1,1,4
54,1,1,1,3
55,1,0,0,1
56,1,1,1,3
57,1,3,5,9
58,1,0,0,1
59,7,5,10,22
60,1,1,1,3
61,1,1,0,2
62,1,0,0,1
63,1,2,2,5
64,1,0,0,1
65,1,2,2,5
66,2,1,1,4
67,1,1,2,4
68,1,1,1,3
69,6,9,8,23
70,1,1,3,5
71,2,3,2,7
72,14,12,15,41
73,1,1,2,4
74,9,6,3,18
75,1,1,1,3
76,1,2,1,4
77,1,0,0,1
78,1,1,0,2
79,1,1,1,3
80,1,0,0,1
81,1,2,3,6
82,2,1,3,6
83,1,1,1,3
84,1,1,1,3
85,0,1,1,2
