class_id,train_count,valid_count,test_count,total_count
0,1,0,0,1
1,2,5,9,16
2,6,0,0,6
3,55,18,16,89
4,4,3,1,8
5,26,28,30,84
6,1,0,0,1
7,1,7,5,13
8,24,31,28,83
9,5,21,13,39
10,2,1,2,5
11,4,3,3,10
12,1,0,0,1
13,8,7,3,18
14,0,7,11,18
15,61,53,53,167
16,1,0,1,2
17,2,1,1,4
18,3,2,3,8
19,45,99,97,241
20,11,1,3,15
21,1,0,0,1
22,1,1,1,3
23,2,1,2,5
24,6,9,8,23
25,1,0,0,1
26,7,10,10,27
27,1,0,0,1
28,4,3,5,12
29,6,1,5,12
30,1,0,0,1
31,15,8,8,31
32,5,4,7,16
33,5,3,9,17
34,3,0,0,3
35,0,7,6,13
36,33,25,17,75
37,1,3,1,5
38,2,2,5,9
39,2,1,1,4
40,2,0,0,2
41,1,0,0,1
42,1,1,1,3
43,0,1,1,2
44,2,0,0,2
45,1,0,0,1
46,308,390,402,1100
47,2,2,1,5
48,660,592,578,1830
49,0,1,2,3
50,3,1,4,8
51,1,0,1,2
52,4,2,1,7
53,13,14,8,35
54,4,1,3,8
55,1,0,0,1
56,9,6,3,18
57,7,28,27,62
58,2,0,0,2
59,76,98,89,263
60,6,9,9,24
61,1,2,0,3
62,1,0,0,1
63,11,5,7,23
64,2,0,0,2
65,1,3,6,10
66,11,7,6,24
67,3,3,4,10
68,1,2,3,6
69,75,86,94,255
70,5,11,15,31
71,15,18,14,47
72,220,239,256,715
73,7,5,4,16
74,126,49,49,224
75,10,14,12,36
76,10,10,10,30
77,2,0,0,2
78,3,1,0,4
79,2,1,1,4
80,2,0,0,2
81,5,13,8,26
82,16,13,11,40
83,2,1,2,5
84,7,5,2,14
85,0,1,2,3
